issue_utc,lead_min,method,scale,fss
2026-07-06 23:00:00,300,M0,21,0.966285765171051
2026-07-06 23:00:00,300,M0,51,0.9844603538513184
2026-07-06 23:00:00,300,M1,1,0.9045924544334412
2026-07-06 23:00:00,300,M1,3,0.9270711541175842
2026-07-06 23:00:00,300,M1,9,0.9438761472702026
2026-07-06 23:00:00,300,M1,21,0.9581810235977173
2026-07-06 23:00:00,300,M1,51,0.9770845770835876
2026-07-06 23:00:00,300,M4,1,0.921765148639679
2026-07-06 23:00:00,300,M4,3,0.9439449310302734
2026-07-06 23:00:00,300,M4,9,0.9597833156585693
2026-07-06 23:00:00,300,M4,21,0.9720137715339661
2026-07-06 23:00:00,300,M4,51,0.9854403734207153
2026-07-06 23:00:00,360,M0,1,0.883368730545044
2026-07-06 23:00:00,360,M0,3,0.918493926525116
2026-07-06 23:00:00,360,M0,9,0.9441127181053162
2026-07-06 23:00:00,360,M0,21,0.9636682271957397
2026-07-06 23:00:00,360,M0,51,0.9830394387245178
2026-07-06 23:00:00,360,M1,1,0.9037900567054749
2026-07-06 23:00:00,360,M1,3,0.9260150790214539
2026-07-06 23:00:00,360,M1,9,0.9426514506340027
2026-07-06 23:00:00,360,M1,21,0.9572643041610718
2026-07-06 23:00:00,360,M1,51,0.9767231345176697
2026-07-06 23:00:00,360,M4,1,0.9171118140220642
2026-07-06 23:00:00,360,M4,3,0.9395678043365479
2026-07-06 23:00:00,360,M4,9,0.9560675621032715
2026-07-06 23:00:00,360,M4,21,0.9694704413414001
2026-07-06 23:00:00,360,M4,51,0.9845804572105408
2026-07-07 00:00:00,30,M0,1,0.9373565316200256
2026-07-07 00:00:00,30,M0,3,0.9686576724052429
2026-07-07 00:00:00,30,M0,9,0.9875259399414062
2026-07-07 00:00:00,30,M0,21,0.9955558776855469
2026-07-07 00:00:00,30,M0,51,0.9988018870353699
2026-07-07 00:00:00,30,M1,1,0.955030083656311
2026-07-07 00:00:00,30,M1,3,0.9770697951316833
2026-07-07 00:00:00,30,M1,9,0.9903835654258728
2026-07-07 00:00:00,30,M1,21,0.996041476726532
2026-07-07 00:00:00,30,M1,51,0.9986104965209961
2026-07-07 00:00:00,30,M4,1,0.9559040665626526
2026-07-07 00:00:00,30,M4,3,0.9762039184570312
2026-07-07 00:00:00,30,M4,9,0.9893576502799988
2026-07-07 00:00:00,30,M4,21,0.9951021671295166
2026-07-07 00:00:00,30,M4,51,0.9978877305984497
2026-07-07 00:00:00,60,M0,1,0.9199908375740051
2026-07-07 00:00:00,60,M0,3,0.9518137574195862
2026-07-07 00:00:00,60,M0,9,0.9745112657546997
2026-07-07 00:00:00,60,M0,21,0.9886103272438049
2026-07-07 00:00:00,60,M0,51,0.9966790080070496
2026-07-07 00:00:00,60,M1,1,0.9390127658843994
2026-07-07 00:00:00,60,M1,3,0.9604774713516235
2026-07-07 00:00:00,60,M1,9,0.9784762859344482
2026-07-07 00:00:00,60,M1,21,0.9895896315574646
2026-07-07 00:00:00,60,M1,51,0.996140718460083
2026-07-07 00:00:00,60,M4,1,0.9458788633346558
2026-07-07 00:00:00,60,M4,3,0.9649944305419922
2026-07-07 00:00:00,60,M4,9,0.9798005223274231
2026-07-07 00:00:00,60,M4,21,0.9893911480903625
2026-07-07 00:00:00,60,M4,51,0.995248556137085
2026-07-07 00:00:00,120,M0,1,0.9089828133583069
2026-07-07 00:00:00,120,M0,3,0.9417321085929871
2026-07-07 00:00:00,120,M0,9,0.9645736217498779
2026-07-07 00:00:00,120,M0,21,0.9799361228942871
2026-07-07 00:00:00,120,M0,51,0.9925898909568787
2026-07-07 00:00:00,120,M1,1,0.9285831451416016
2026-07-07 00:00:00,120,M1,3,0.9493690133094788
2026-07-07 00:00:00,120,M1,9,0.9669257402420044
2026-07-07 00:00:00,120,M1,21,0.9809319376945496
2026-07-07 00:00:00,120,M1,51,0.992229163646698
2026-07-07 00:00:00,120,M4,1,0.9422102570533752
2026-07-07 00:00:00,120,M4,3,0.9610351324081421
2026-07-07 00:00:00,120,M4,9,0.9744547009468079
2026-07-07 00:00:00,120,M4,21,0.9837621450424194
2026-07-07 00:00:00,120,M4,51,0.9917099475860596
2026-07-07 00:00:00,180,M0,1,0.8950470089912415
2026-07-07 00:00:00,180,M0,3,0.9303112626075745
2026-07-07 00:00:00,180,M0,9,0.9551308751106262
2026-07-07 00:00:00,180,M0,21,0.9730516076087952
2026-07-07 00:00:00,180,M0,51,0.9892663955688477
2026-07-07 00:00:00,180,M1,1,0.9164640307426453
2026-07-07 00:00:00,180,M1,3,0.9386608600616455
2026-07-07 00:00:00,180,M1,9,0.9562867879867554
2026-07-07 00:00:00,180,M1,21,0.9716641902923584
2026-07-07 00:00:00,180,M1,51,0.9875324964523315
2026-07-07 00:00:00,180,M4,1,0.9310758113861084
2026-07-07 00:00:00,180,M4,3,0.9520794153213501
2026-07-07 00:00:00,180,M4,9,0.966905951499939
2026-07-07 00:00:00,180,M4,21,0.9777701497077942
2026-07-07 00:00:00,180,M4,51,0.9880682826042175
2026-07-07 00:00:00,240,M0,1,0.8870404958724976
2026-07-07 00:00:00,240,M0,3,0.9233508110046387
2026-07-07 00:00:00,240,M0,9,0.9490317106246948
2026-07-07 00:00:00,240,M0,21,0.9676242470741272
2026-07-07 00:00:00,240,M0,51,0.9862672090530396
2026-07-07 00:00:00,240,M1,1,0.916805624961853
2026-07-07 00:00:00,240,M1,3,0.939399778842926
2026-07-07 00:00:00,240,M1,9,0.9564989805221558
2026-07-07 00:00:00,240,M1,21,0.9703396558761597
2026-07-07 00:00:00,240,M1,51,0.9851100444793701
2026-07-07 00:00:00,240,M4,1,0.9252158403396606
2026-07-07 00:00:00,240,M4,3,0.9477218985557556
2026-07-07 00:00:00,240,M4,9,0.9637596607208252
2026-07-07 00:00:00,240,M4,21,0.9753826260566711
2026-07-07 00:00:00,240,M4,51,0.9864400029182434
2026-07-07 00:00:00,300,M0,1,0.8816407322883606
2026-07-07 00:00:00,300,M0,3,0.917661726474762
2026-07-07 00:00:00,300,M0,9,0.9438074827194214
2026-07-07 00:00:00,300,M0,21,0.9632179737091064
2026-07-07 00:00:00,300,M0,51,0.9833623170852661
2026-07-07 00:00:00,300,M1,1,0.9182869791984558
2026-07-07 00:00:00,300,M1,3,0.9402047991752625
2026-07-07 00:00:00,300,M1,9,0.9562044739723206
2026-07-07 00:00:00,300,M1,21,0.9692445993423462
2026-07-07 00:00:00,300,M1,51,0.9839791059494019
2026-07-07 00:00:00,300,M4,1,0.9182214140892029
2026-07-07 00:00:00,300,M4,3,0.9408711791038513
2026-07-07 00:00:00,300,M4,9,0.9574710726737976
2026-07-07 00:00:00,300,M4,21,0.9712466597557068
2026-07-07 00:00:00,300,M4,51,0.9858579635620117
2026-07-07 00:00:00,360,M0,1,0.8821228742599487
2026-07-07 00:00:00,360,M0,3,0.9169864654541016
2026-07-07 00:00:00,360,M0,9,0.9419460296630859
2026-07-07 00:00:00,360,M0,21,0.9603590965270996
2026-07-07 00:00:00,360,M0,51,0.9806056618690491
2026-07-07 00:00:00,360,M1,1,0.9215115904808044
2026-07-07 00:00:00,360,M1,3,0.9421019554138184
2026-07-07 00:00:00,360,M1,9,0.9573033452033997
2026-07-07 00:00:00,360,M1,21,0.9694868922233582
2026-07-07 00:00:00,360,M1,51,0.9836804866790771
2026-07-07 00:00:00,360,M4,1,0.9178361296653748
2026-07-07 00:00:00,360,M4,3,0.9400326609611511
2026-07-07 00:00:00,360,M4,9,0.9567017555236816
2026-07-07 00:00:00,360,M4,21,0.9701440930366516
2026-07-07 00:00:00,360,M4,51,0.9851066470146179
2026-07-07 03:00:00,30,M0,1,0.9251845479011536
2026-07-07 03:00:00,30,M0,3,0.9662358164787292
2026-07-07 03:00:00,30,M0,9,0.988534152507782
2026-07-07 03:00:00,30,M0,21,0.996666669845581
2026-07-07 03:00:00,30,M0,51,0.9993232488632202
2026-07-07 03:00:00,30,M1,1,0.9475528597831726
2026-07-07 03:00:00,30,M1,3,0.9757958650588989
2026-07-07 03:00:00,30,M1,9,0.9912862777709961
2026-07-07 03:00:00,30,M1,21,0.9967610239982605
2026-07-07 03:00:00,30,M1,51,0.9988327622413635
2026-07-07 03:00:00,30,M4,1,0.9487308859825134
2026-07-07 03:00:00,30,M4,3,0.973983883857727
2026-07-07 03:00:00,30,M4,9,0.988720715045929
2026-07-07 03:00:00,30,M4,21,0.9943110942840576
2026-07-07 03:00:00,30,M4,51,0.9968534111976624
2026-07-07 03:00:00,60,M0,1,0.9121686220169067
2026-07-07 03:00:00,60,M0,3,0.9539922475814819
2026-07-07 03:00:00,60,M0,9,0.9790698289871216
2026-07-07 03:00:00,60,M0,21,0.9915885329246521
2026-07-07 03:00:00,60,M0,51,0.9977587461471558
2026-07-07 03:00:00,60,M1,1,0.9371981620788574
2026-07-07 03:00:00,60,M1,3,0.9638412594795227
2026-07-07 03:00:00,60,M1,9,0.9830471277236938
2026-07-07 03:00:00,60,M1,21,0.9927126169204712
2026-07-07 03:00:00,60,M1,51,0.9970616698265076
2026-07-07 03:00:00,60,M4,1,0.9410412907600403
2026-07-07 03:00:00,60,M4,3,0.965111255645752
2026-07-07 03:00:00,60,M4,9,0.9807551503181458
2026-07-07 03:00:00,60,M4,21,0.9889095425605774
2026-07-07 03:00:00,60,M4,51,0.9939457774162292
2026-07-07 03:00:00,120,M0,1,0.896734356880188
2026-07-07 03:00:00,120,M0,3,0.9381108283996582
2026-07-07 03:00:00,120,M0,9,0.9642696976661682
2026-07-07 03:00:00,120,M0,21,0.9803879261016846
2026-07-07 03:00:00,120,M0,51,0.9930796027183533
2026-07-07 03:00:00,120,M1,1,0.9241393804550171
2026-07-07 03:00:00,120,M1,3,0.9481795430183411
2026-07-07 03:00:00,120,M1,9,0.9669553637504578
2026-07-07 03:00:00,120,M1,21,0.9817309379577637
2026-07-07 03:00:00,120,M1,51,0.9920791983604431
2026-07-07 03:00:00,120,M4,1,0.9311020374298096
2026-07-07 03:00:00,120,M4,3,0.9537975192070007
2026-07-07 03:00:00,120,M4,9,0.9697345495223999
2026-07-07 03:00:00,120,M4,21,0.9810651540756226
2026-07-07 03:00:00,120,M4,51,0.9904889464378357
2026-07-07 03:00:00,180,M0,1,0.8899322152137756
2026-07-07 03:00:00,180,M0,3,0.9299163818359375
2026-07-07 03:00:00,180,M0,9,0.9562752842903137
2026-07-07 03:00:00,180,M0,21,0.9736270904541016
2026-07-07 03:00:00,180,M0,51,0.9892106652259827
2026-07-07 03:00:00,180,M1,1,0.9241012930870056
2026-07-07 03:00:00,180,M1,3,0.9458395838737488
2026-07-07 03:00:00,180,M1,9,0.9626801013946533
2026-07-07 03:00:00,180,M1,21,0.9764771461486816
2026-07-07 03:00:00,180,M1,51,0.9885804653167725
2026-07-07 03:00:00,180,M4,1,0.9328411817550659
2026-07-07 03:00:00,180,M4,3,0.9542035460472107
2026-07-07 03:00:00,180,M4,9,0.9694404006004333
2026-07-07 03:00:00,180,M4,21,0.9803647994995117
2026-07-07 03:00:00,180,M4,51,0.9903590679168701
2026-07-07 03:00:00,240,M0,1,0.8810155987739563
2026-07-07 03:00:00,240,M0,3,0.9210113286972046
2026-07-07 03:00:00,240,M0,9,0.947807252407074
2026-07-07 03:00:00,240,M0,21,0.9671444296836853
2026-07-07 03:00:00,240,M0,51,0.9861484169960022
2026-07-07 03:00:00,240,M1,1,0.9170472025871277
2026-07-07 03:00:00,240,M1,3,0.9380922317504883
2026-07-07 03:00:00,240,M1,9,0.9540655016899109
2026-07-07 03:00:00,240,M1,21,0.9677950739860535
2026-07-07 03:00:00,240,M1,51,0.9821426868438721
2026-07-07 03:00:00,240,M4,1,0.92532879114151
2026-07-07 03:00:00,240,M4,3,0.9468015432357788
2026-07-07 03:00:00,240,M4,9,0.9625382423400879
2026-07-07 03:00:00,240,M4,21,0.9747220873832703
2026-07-07 03:00:00,240,M4,51,0.9877694249153137
2026-07-07 03:00:00,300,M0,1,0.8684111833572388
2026-07-07 03:00:00,300,M0,3,0.909953773021698
2026-07-07 03:00:00,300,M0,9,0.938045859336853
2026-07-07 03:00:00,300,M0,21,0.9581854939460754
2026-07-07 03:00:00,300,M0,51,0.9804656505584717
2026-07-07 03:00:00,300,M1,1,0.9050328135490417
2026-07-07 03:00:00,300,M1,3,0.9267969131469727
2026-07-07 03:00:00,300,M1,9,0.9428455233573914
2026-07-07 03:00:00,300,M1,21,0.9560088515281677
2026-07-07 03:00:00,300,M1,51,0.9729415774345398
2026-07-07 03:00:00,300,M4,1,0.9122514724731445
2026-07-07 03:00:00,300,M4,3,0.9350904226303101
2026-07-07 03:00:00,300,M4,9,0.951789915561676
2026-07-07 03:00:00,300,M4,21,0.9649516344070435
2026-07-07 03:00:00,300,M4,51,0.9808254241943359
2026-07-07 03:00:00,360,M0,1,0.8585113883018494
2026-07-07 03:00:00,360,M0,3,0.9004561305046082
2026-07-07 03:00:00,360,M0,9,0.9301098585128784
2026-07-07 03:00:00,360,M0,21,0.951786458492279
2026-07-07 03:00:00,360,M0,51,0.9743660688400269
2026-07-07 03:00:00,360,M1,1,0.8911513686180115
2026-07-07 03:00:00,360,M1,3,0.9131108522415161
2026-07-07 03:00:00,360,M1,9,0.9300029873847961
2026-07-07 03:00:00,360,M1,21,0.9443755149841309
2026-07-07 03:00:00,360,M1,51,0.9626195430755615
2026-07-07 03:00:00,360,M4,1,0.9040836691856384
2026-07-07 03:00:00,360,M4,3,0.9276174902915955
2026-07-07 03:00:00,360,M4,9,0.9457641839981079
2026-07-07 03:00:00,360,M4,21,0.9604570269584656
2026-07-07 03:00:00,360,M4,51,0.976463258266449
2026-07-07 06:00:00,30,M0,1,0.9273590445518494
2026-07-07 06:00:00,30,M0,3,0.9676918387413025
2026-07-07 06:00:00,30,M0,9,0.9890103340148926
2026-07-07 06:00:00,30,M0,21,0.9968265891075134
2026-07-07 06:00:00,30,M0,51,0.9993455410003662
2026-07-07 06:00:00,30,M1,1,0.9490270614624023
2026-07-07 06:00:00,30,M1,3,0.9757310748100281
2026-07-07 06:00:00,30,M1,9,0.990615725517273
2026-07-07 06:00:00,30,M1,21,0.9962232708930969
2026-07-07 06:00:00,30,M1,51,0.998428463935852
2026-07-07 06:00:00,30,M4,1,0.95036780834198
2026-07-07 06:00:00,30,M4,3,0.9748345017433167
2026-07-07 06:00:00,30,M4,9,0.9891404509544373
2026-07-07 06:00:00,30,M4,21,0.9949509501457214
2026-07-07 06:00:00,30,M4,51,0.9974507093429565
2026-07-07 06:00:00,60,M0,1,0.9123724699020386
2026-07-07 06:00:00,60,M0,3,0.9531731009483337
2026-07-07 06:00:00,60,M0,9,0.9783271551132202
2026-07-07 06:00:00,60,M0,21,0.9912108182907104
2026-07-07 06:00:00,60,M0,51,0.9970539212226868
2026-07-07 06:00:00,60,M1,1,0.9359201192855835
2026-07-07 06:00:00,60,M1,3,0.9608544707298279
2026-07-07 06:00:00,60,M1,9,0.979375958442688
2026-07-07 06:00:00,60,M1,21,0.9899112582206726
2026-07-07 06:00:00,60,M1,51,0.9953067898750305
2026-07-07 06:00:00,60,M4,1,0.9409104585647583
2026-07-07 06:00:00,60,M4,3,0.9636535048484802
2026-07-07 06:00:00,60,M4,9,0.9793249368667603
2026-07-07 06:00:00,60,M4,21,0.9886942505836487
2026-07-07 06:00:00,60,M4,51,0.9938821792602539
2026-07-07 06:00:00,120,M0,1,0.8941450119018555
2026-07-07 06:00:00,120,M0,3,0.9362702965736389
2026-07-07 06:00:00,120,M0,9,0.9635838270187378
2026-07-07 06:00:00,120,M0,21,0.9799121022224426
2026-07-07 06:00:00,120,M0,51,0.9913297295570374
2026-07-07 06:00:00,120,M1,1,0.915784478187561
2026-07-07 06:00:00,120,M1,3,0.9399002194404602
2026-07-07 06:00:00,120,M1,9,0.959409236907959
2026-07-07 06:00:00,120,M1,21,0.9751808643341064
2026-07-07 06:00:00,120,M1,51,0.9875869750976562
2026-07-07 06:00:00,120,M4,1,0.9223467707633972
2026-07-07 06:00:00,120,M4,3,0.9453109502792358
2026-07-07 06:00:00,120,M4,9,0.9621017575263977
2026-07-07 06:00:00,120,M4,21,0.9741137623786926
2026-07-07 06:00:00,120,M4,51,0.9848559498786926
2026-07-07 06:00:00,180,M0,1,0.8787476420402527
2026-07-07 06:00:00,180,M0,3,0.9215035438537598
2026-07-07 06:00:00,180,M0,9,0.9508143663406372
2026-07-07 06:00:00,180,M0,21,0.969656765460968
2026-07-07 06:00:00,180,M0,51,0.9842801690101624
2026-07-07 06:00:00,180,M1,1,0.9009258151054382
2026-07-07 06:00:00,180,M1,3,0.9243980646133423
2026-07-07 06:00:00,180,M1,9,0.9436825513839722
2026-07-07 06:00:00,180,M1,21,0.9605278372764587
2026-07-07 06:00:00,180,M1,51,0.9767502546310425
2026-07-07 06:00:00,180,M4,1,0.9080013036727905
2026-07-07 06:00:00,180,M4,3,0.9309702515602112
2026-07-07 06:00:00,180,M4,9,0.948585569858551
2026-07-07 06:00:00,180,M4,21,0.9629358053207397
2026-07-07 06:00:00,180,M4,51,0.97707200050354
2026-07-07 06:00:00,240,M0,1,0.8658899664878845
2026-07-07 06:00:00,240,M0,3,0.905837893486023
2026-07-07 06:00:00,240,M0,9,0.9362246990203857
2026-07-07 06:00:00,240,M0,21,0.9583090543746948
2026-07-07 06:00:00,240,M0,51,0.977452278137207
2026-07-07 06:00:00,240,M1,1,0.8963047862052917
2026-07-07 06:00:00,240,M1,3,0.9169487953186035
2026-07-07 06:00:00,240,M1,9,0.9356167316436768
2026-07-07 06:00:00,240,M1,21,0.95225590467453
2026-07-07 06:00:00,240,M1,51,0.9701665043830872
2026-07-07 06:00:00,240,M4,1,0.9042389392852783
2026-07-07 06:00:00,240,M4,3,0.9252958297729492
2026-07-07 06:00:00,240,M4,9,0.9437008500099182
2026-07-07 06:00:00,240,M4,21,0.9592958092689514
2026-07-07 06:00:00,240,M4,51,0.9753252267837524
2026-07-07 06:00:00,300,M0,1,0.8578646183013916
2026-07-07 06:00:00,300,M0,3,0.8975456357002258
2026-07-07 06:00:00,300,M0,9,0.9280104637145996
2026-07-07 06:00:00,300,M0,21,0.9506840109825134
2026-07-07 06:00:00,300,M0,51,0.9713748693466187
2026-07-07 06:00:00,300,M1,1,0.8805410265922546
2026-07-07 06:00:00,300,M1,3,0.9001583456993103
2026-07-07 06:00:00,300,M1,9,0.9183906316757202
2026-07-07 06:00:00,300,M1,21,0.9356992244720459
2026-07-07 06:00:00,300,M1,51,0.956511378288269
2026-07-07 06:00:00,300,M4,1,0.8903545141220093
2026-07-07 06:00:00,300,M4,3,0.9113872051239014
2026-07-07 06:00:00,300,M4,9,0.9306509494781494
2026-07-07 06:00:00,300,M4,21,0.9479542970657349
2026-07-07 06:00:00,300,M4,51,0.9658362865447998
2026-07-07 06:00:00,360,M0,1,0.8278892636299133
2026-07-07 06:00:00,360,M0,3,0.8677796721458435
2026-07-07 06:00:00,360,M0,9,0.9006302356719971
2026-07-07 06:00:00,360,M0,21,0.9251370429992676
2026-07-07 06:00:00,360,M0,51,0.9507188200950623
2026-07-07 06:00:00,360,M1,1,0.8544001579284668
2026-07-07 06:00:00,360,M1,3,0.8744151592254639
2026-07-07 06:00:00,360,M1,9,0.8944180011749268
2026-07-07 06:00:00,360,M1,21,0.9128643870353699
2026-07-07 06:00:00,360,M1,51,0.9370277523994446
2026-07-07 06:00:00,360,M4,1,0.8630008697509766
2026-07-07 06:00:00,360,M4,3,0.884814441204071
2026-07-07 06:00:00,360,M4,9,0.9065642356872559
2026-07-07 06:00:00,360,M4,21,0.9259257912635803
2026-07-07 06:00:00,360,M4,51,0.9490964412689209
2026-07-07 10:00:00,30,M0,1,0.9027293920516968
2026-07-07 10:00:00,30,M0,3,0.9437419176101685
2026-07-07 10:00:00,30,M0,9,0.9731276631355286
2026-07-07 10:00:00,30,M0,21,0.987658679485321
2026-07-07 10:00:00,30,M0,51,0.9939993619918823
2026-07-07 10:00:00,30,M1,1,0.914955735206604
2026-07-07 10:00:00,30,M1,3,0.9460223913192749
2026-07-07 10:00:00,30,M1,9,0.9717831611633301
2026-07-07 10:00:00,30,M1,21,0.9853381514549255
2026-07-07 10:00:00,30,M1,51,0.991852879524231
2026-07-07 10:00:00,30,M4,1,0.9235246777534485
2026-07-07 10:00:00,30,M4,3,0.950751543045044
2026-07-07 10:00:00,30,M4,9,0.9735459685325623
2026-07-07 10:00:00,30,M4,21,0.9866277575492859
2026-07-07 10:00:00,30,M4,51,0.993690550327301
2026-07-07 10:00:00,60,M0,1,0.8882107138633728
2026-07-07 10:00:00,60,M0,3,0.9291542172431946
2026-07-07 10:00:00,60,M0,9,0.9612216949462891
2026-07-07 10:00:00,60,M0,21,0.9802651405334473
2026-07-07 10:00:00,60,M0,51,0.9903521537780762
2026-07-07 10:00:00,60,M1,1,0.8947194218635559
2026-07-07 10:00:00,60,M1,3,0.9223881959915161
2026-07-07 10:00:00,60,M1,9,0.9504671096801758
2026-07-07 10:00:00,60,M1,21,0.9705235958099365
2026-07-07 10:00:00,60,M1,51,0.9826807379722595
2026-07-07 10:00:00,60,M4,1,0.9042561054229736
2026-07-07 10:00:00,60,M4,3,0.9299687743186951
2026-07-07 10:00:00,60,M4,9,0.953930139541626
2026-07-07 10:00:00,60,M4,21,0.9729238152503967
2026-07-07 10:00:00,60,M4,51,0.9875639081001282
2026-07-07 10:00:00,120,M0,1,0.8547150492668152
2026-07-07 10:00:00,120,M0,3,0.8964999914169312
2026-07-07 10:00:00,120,M0,9,0.9335427284240723
2026-07-07 10:00:00,120,M0,21,0.9591842293739319
2026-07-07 10:00:00,120,M0,51,0.9789443612098694
2026-07-07 10:00:00,120,M1,1,0.8589085936546326
2026-07-07 10:00:00,120,M1,3,0.8840896487236023
2026-07-07 10:00:00,120,M1,9,0.9124578237533569
2026-07-07 10:00:00,120,M1,21,0.9389072060585022
2026-07-07 10:00:00,120,M1,51,0.9630701541900635
2026-07-07 10:00:00,120,M4,1,0.8805774450302124
2026-07-07 10:00:00,120,M4,3,0.9065801501274109
2026-07-07 10:00:00,120,M4,9,0.9327890276908875
2026-07-07 10:00:00,120,M4,21,0.9543745517730713
2026-07-07 10:00:00,120,M4,51,0.973508358001709
2026-07-07 10:00:00,180,M0,1,0.8329017162322998
2026-07-07 10:00:00,180,M0,3,0.8748853802680969
2026-07-07 10:00:00,180,M0,9,0.9132407307624817
2026-07-07 10:00:00,180,M0,21,0.9422788619995117
2026-07-07 10:00:00,180,M0,51,0.9678493142127991
2026-07-07 10:00:00,180,M1,1,0.8456212878227234
2026-07-07 10:00:00,180,M1,3,0.8698422908782959
2026-07-07 10:00:00,180,M1,9,0.8972848653793335
2026-07-07 10:00:00,180,M1,21,0.9239044785499573
2026-07-07 10:00:00,180,M1,51,0.9503391981124878
2026-07-07 10:00:00,180,M4,1,0.8682291507720947
2026-07-07 10:00:00,180,M4,3,0.893696665763855
2026-07-07 10:00:00,180,M4,9,0.9197402000427246
2026-07-07 10:00:00,180,M4,21,0.9417466521263123
2026-07-07 10:00:00,180,M4,51,0.9634830951690674
2026-07-07 10:00:00,240,M0,1,0.8142640590667725
2026-07-07 10:00:00,240,M0,3,0.8558076620101929
2026-07-07 10:00:00,240,M0,9,0.8950612545013428
2026-07-07 10:00:00,240,M0,21,0.9262372255325317
2026-07-07 10:00:00,240,M0,51,0.9564396142959595
2026-07-07 10:00:00,240,M1,1,0.8382945656776428
2026-07-07 10:00:00,240,M1,3,0.8607588410377502
2026-07-07 10:00:00,240,M1,9,0.8855489492416382
2026-07-07 10:00:00,240,M1,21,0.9096198081970215
2026-07-07 10:00:00,240,M1,51,0.9365063309669495
2026-07-07 10:00:00,240,M4,1,0.8428632616996765
2026-07-07 10:00:00,240,M4,3,0.8676090836524963
2026-07-07 10:00:00,240,M4,9,0.8942670226097107
2026-07-07 10:00:00,240,M4,21,0.9199113845825195
2026-07-07 10:00:00,240,M4,51,0.9499897956848145
2026-07-07 10:00:00,300,M0,1,0.7975580096244812
2026-07-07 10:00:00,300,M0,3,0.838444709777832
2026-07-07 10:00:00,300,M0,9,0.8781502842903137
2026-07-07 10:00:00,300,M0,21,0.9099913239479065
2026-07-07 10:00:00,300,M0,51,0.9417150020599365
2026-07-07 10:00:00,300,M1,1,0.8255190849304199
2026-07-07 10:00:00,300,M1,3,0.8467340469360352
2026-07-07 10:00:00,300,M1,9,0.8702038526535034
2026-07-07 10:00:00,300,M1,21,0.8925081491470337
2026-07-07 10:00:00,300,M1,51,0.9191906452178955
2026-07-07 10:00:00,300,M4,1,0.8251592516899109
2026-07-07 10:00:00,300,M4,3,0.8495708107948303
2026-07-07 10:00:00,300,M4,9,0.8770567774772644
2026-07-07 10:00:00,300,M4,21,0.9030188918113708
2026-07-07 10:00:00,300,M4,51,0.9371311068534851
2026-07-07 10:00:00,360,M0,1,0.7916251420974731
2026-07-07 10:00:00,360,M0,3,0.8314427137374878
2026-07-07 10:00:00,360,M0,9,0.8693201541900635
2026-07-07 10:00:00,360,M0,21,0.9000572562217712
2026-07-07 10:00:00,360,M0,51,0.9312505125999451
2026-07-07 10:00:00,360,M1,1,0.8221330046653748
2026-07-07 10:00:00,360,M1,3,0.8417688012123108
2026-07-07 10:00:00,360,M1,9,0.8629652857780457
2026-07-07 10:00:00,360,M1,21,0.882768452167511
2026-07-07 10:00:00,360,M1,51,0.9074963331222534
