var,city,model,lead,n,ME,MAE
t2m,대구,GFS,120-240h,38,-3.86,3.89
t2m,대구,KIM,000-024h,294,-1.16,1.38
t2m,대구,KIM,024-048h,270,-1.18,1.45
t2m,대구,KIM,048-072h,232,-1.09,1.47
t2m,대구,KIM,072-120h,27,-1.08,1.41
t2m,대전,ECMWF,000-024h,269,-1.42,1.64
t2m,대전,ECMWF,024-048h,264,-1.48,1.86
t2m,대전,ECMWF,048-072h,257,-1.18,1.74
t2m,대전,ECMWF,072-120h,479,-1.24,1.86
t2m,대전,ECMWF,120-240h,637,-1.29,1.96
t2m,대전,ECMWF,240h+,24,-2.12,2.64
t2m,대전,GFS,000-024h,440,-1.77,1.96
t2m,대전,GFS,024-048h,416,-1.77,2.09
t2m,대전,GFS,048-072h,389,-1.79,2.19
t2m,대전,GFS,072-120h,683,-1.85,2.32
t2m,대전,GFS,120-240h,38,-2.91,2.91
t2m,대전,KIM,000-024h,294,-1.71,1.86
t2m,대전,KIM,024-048h,270,-1.64,1.93
t2m,대전,KIM,048-072h,232,-1.56,1.93
t2m,대전,KIM,072-120h,27,-1.18,1.86
t2m,부산,ECMWF,000-024h,269,-0.61,1.7
t2m,부산,ECMWF,024-048h,264,-0.8,1.64
t2m,부산,ECMWF,048-072h,257,-0.77,1.77
t2m,부산,ECMWF,072-120h,479,-1.01,1.7
t2m,부산,ECMWF,120-240h,637,-1.16,1.97
t2m,부산,ECMWF,240h+,24,-0.22,1.45
t2m,부산,GFS,000-024h,440,-0.55,1.45
t2m,부산,GFS,024-048h,416,-0.71,1.53
t2m,부산,GFS,048-072h,389,-0.61,1.61
t2m,부산,GFS,072-120h,683,-0.98,1.72
t2m,부산,GFS,120-240h,38,-0.9,1.63
t2m,부산,KIM,000-024h,294,-1.03,1.27
t2m,부산,KIM,024-048h,270,-1.01,1.17
t2m,부산,KIM,048-072h,232,-1.03,1.24
t2m,부산,KIM,072-120h,27,-1.1,1.34
t2m,서울,ECMWF,000-024h,269,-0.71,1.08
t2m,서울,ECMWF,024-048h,264,-0.8,1.3
t2m,서울,ECMWF,048-072h,257,-0.66,1.54
t2m,서울,ECMWF,072-120h,479,-0.44,1.63
t2m,서울,ECMWF,120-240h,637,-0.78,1.63
t2m,서울,ECMWF,240h+,24,-1.4,2.18
t2m,서울,GFS,000-024h,440,-0.56,1.01
t2m,서울,GFS,024-048h,416,-0.62,1.19
t2m,서울,GFS,048-072h,389,-0.26,1.3
t2m,서울,GFS,072-120h,683,-0.27,1.63
t2m,서울,GFS,120-240h,38,-0.77,1.37
t2m,서울,KIM,000-024h,294,-1.05,1.55
t2m,서울,KIM,024-048h,270,-1.07,1.59
t2m,서울,KIM,048-072h,232,-1.01,1.67
t2m,서울,KIM,072-120h,27,-0.54,1.64
t2m,수원,ECMWF,000-024h,269,-0.74,1.02
t2m,수원,ECMWF,024-048h,264,-0.73,1.19
t2m,수원,ECMWF,048-072h,257,-0.67,1.44
t2m,수원,ECMWF,072-120h,479,-0.28,1.56
t2m,수원,ECMWF,120-240h,637,-0.54,1.52
t2m,수원,ECMWF,240h+,24,-1.12,1.9
t2m,수원,GFS,000-024h,440,-0.67,1.13
t2m,수원,GFS,024-048h,416,-0.74,1.28
t2m,수원,GFS,048-072h,389,-0.52,1.46
t2m,수원,GFS,072-120h,683,-0.52,1.56
t2m,수원,GFS,120-240h,38,-0.8,1.31
t2m,수원,KIM,000-024h,294,-0.55,1.12
t2m,수원,KIM,024-048h,270,-0.56,1.34
t2m,수원,KIM,048-072h,232,-0.58,1.33
t2m,수원,KIM,072-120h,27,-0.18,1.36
t2m,인천,ECMWF,000-024h,269,-0.73,1.14
t2m,인천,ECMWF,024-048h,264,-0.75,1.35
t2m,인천,ECMWF,048-072h,257,-0.77,1.61
t2m,인천,ECMWF,072-120h,479,-0.52,1.65
t2m,인천,ECMWF,120-240h,637,-0.73,1.66
t2m,인천,ECMWF,240h+,24,-1.52,2.15
t2m,인천,GFS,000-024h,440,-0.37,0.95
t2m,인천,GFS,024-048h,416,-0.39,1.07
t2m,인천,GFS,048-072h,389,-0.13,1.15
t2m,인천,GFS,072-120h,683,-0.19,1.44
t2m,인천,GFS,120-240h,38,-0.75,1.41
t2m,인천,KIM,000-024h,294,-1.67,1.97
t2m,인천,KIM,024-048h,270,-1.76,2.12
t2m,인천,KIM,048-072h,232,-1.88,2.2
t2m,인천,KIM,072-120h,27,-1.7,2.12
t2m,전주,ECMWF,000-024h,269,-1.57,1.75
t2m,전주,ECMWF,024-048h,264,-1.56,1.84
t2m,전주,ECMWF,048-072h,257,-1.51,1.82
t2m,전주,ECMWF,072-120h,479,-1.6,1.85
t2m,전주,ECMWF,120-240h,637,-1.57,2.02
t2m,전주,ECMWF,240h+,24,-2.3,2.68
t2m,전주,GFS,000-024h,440,-2.17,2.3
t2m,전주,GFS,024-048h,416,-2.24,2.45
t2m,전주,GFS,048-072h,389,-2.26,2.42
t2m,전주,GFS,072-120h,683,-2.53,2.73
t2m,전주,GFS,120-240h,38,-3.2,3.21
t2m,전주,KIM,000-024h,294,-2.97,3.01
t2m,전주,KIM,024-048h,270,-2.97,3.0
t2m,전주,KIM,048-072h,232,-2.91,2.96
t2m,전주,KIM,072-120h,27,-2.47,2.55
t2m,제주,ECMWF,000-024h,269,-2.89,2.89
t2m,제주,ECMWF,024-048h,264,-2.98,2.98
t2m,제주,ECMWF,048-072h,257,-3.08,3.08
t2m,제주,ECMWF,072-120h,479,-3.09,3.09
t2m,제주,ECMWF,120-240h,637,-3.16,3.18
t2m,제주,ECMWF,240h+,24,-3.05,3.05
t2m,제주,GFS,000-024h,440,-2.7,2.7
t2m,제주,GFS,024-048h,416,-2.9,2.9
t2m,제주,GFS,048-072h,389,-2.97,2.97
t2m,제주,GFS,072-120h,683,-3.13,3.13
t2m,제주,GFS,120-240h,38,-3.01,3.01
t2m,제주,KIM,000-024h,294,-2.66,2.66
t2m,제주,KIM,024-048h,270,-2.63,2.63
t2m,제주,KIM,048-072h,232,-2.78,2.78
t2m,제주,KIM,072-120h,27,-2.44,2.45
tcc,강릉,ECMWF,000-024h,269,-2.63,18.07
tcc,강릉,ECMWF,024-048h,264,-0.56,17.13
tcc,강릉,ECMWF,048-072h,257,-1.22,20.33
tcc,강릉,ECMWF,072-120h,479,5.24,22.19
tcc,강릉,ECMWF,120-240h,637,6.47,29.53
tcc,강릉,ECMWF,240h+,24,16.79,26.29
tcc,강릉,GFS,000-024h,440,4.02,20.33
tcc,강릉,GFS,024-048h,416,9.27,20.77
tcc,강릉,GFS,048-072h,389,6.96,22.83
tcc,강릉,GFS,072-120h,683,10.47,26.99
tcc,강릉,GFS,120-240h,38,6.13,28.61
tcc,강릉,KIM,000-024h,294,13.61,26.11
tcc,강릉,KIM,024-048h,270,15.37,29.59
tcc,강릉,KIM,048-072h,232,14.62,33.85
tcc,강릉,KIM,072-120h,27,23.15,34.56
tcc,광주,ECMWF,000-024h,269,1.51,21.01
tcc,광주,ECMWF,024-048h,264,-0.7,24.36
tcc,광주,ECMWF,048-072h,257,-2.08,27.0
tcc,광주,ECMWF,072-120h,479,8.82,32.87
tcc,광주,ECMWF,120-240h,637,9.98,35.68
tcc,광주,ECMWF,240h+,24,-7.71,41.71
tcc,광주,GFS,000-024h,440,0.11,22.19
tcc,광주,GFS,024-048h,416,1.19,23.88
tcc,광주,GFS,048-072h,389,3.75,29.2
tcc,광주,GFS,072-120h,683,2.17,29.78
tcc,광주,GFS,120-240h,38,-5.5,31.66
tcc,광주,KIM,000-024h,294,24.41,33.85
tcc,광주,KIM,024-048h,270,20.94,38.32
tcc,광주,KIM,048-072h,232,16.8,43.27
tcc,광주,KIM,072-120h,27,17.63,42.3
tcc,대구,ECMWF,000-024h,269,0.62,21.83
tcc,대구,ECMWF,024-048h,264,-1.63,22.14
tcc,대구,ECMWF,048-072h,257,-2.08,26.07
tcc,대구,ECMWF,072-120h,479,9.3,30.66
tcc,대구,ECMWF,120-240h,637,8.78,34.03
tcc,대구,ECMWF,240h+,24,3.04,34.96
tcc,대구,GFS,000-024h,440,-1.87,23.19
tcc,대구,GFS,024-048h,416,-2.39,24.03
tcc,대구,GFS,048-072h,389,-1.32,27.51
tcc,대구,GFS,072-120h,683,0.98,28.92
tcc,대구,GFS,120-240h,38,-13.82,29.29
tcc,대구,KIM,000-024h,294,14.41,31.56
tcc,대구,KIM,024-048h,270,9.18,35.73
tcc,대구,KIM,048-072h,232,8.88,41.14
tcc,대구,KIM,072-120h,27,2.26,40.7
tcc,대전,ECMWF,000-024h,269,-2.82,18.75
tcc,대전,ECMWF,024-048h,264,-0.84,20.14
tcc,대전,ECMWF,048-072h,257,-3.0,23.55
tcc,대전,ECMWF,072-120h,479,4.85,24.99
tcc,대전,ECMWF,120-240h,637,5.87,30.18
tcc,대전,ECMWF,240h+,24,-8.5,39.17
tcc,대전,GFS,000-024h,440,-1.05,18.75
tcc,대전,GFS,024-048h,416,1.43,21.22
tcc,대전,GFS,048-072h,389,1.23,23.54
tcc,대전,GFS,072-120h,683,0.39,22.84
tcc,대전,GFS,120-240h,38,1.42,25.0
tcc,대전,KIM,000-024h,294,21.75,29.74
tcc,대전,KIM,024-048h,270,22.1,33.19
tcc,대전,KIM,048-072h,232,17.71,39.69
tcc,대전,KIM,072-120h,27,22.59,43.63
tcc,부산,ECMWF,000-024h,269,-1.44,20.17
tcc,부산,ECMWF,024-048h,264,-4.75,25.07
tcc,부산,ECMWF,048-072h,257,-3.38,27.71
tcc,부산,ECMWF,072-120h,479,1.04,30.87
tcc,부산,ECMWF,120-240h,637,11.42,33.96
tcc,부산,ECMWF,240h+,24,3.42,27.5
tcc,부산,GFS,000-024h,440,4.64,24.71
tcc,부산,GFS,024-048h,416,7.18,26.84
tcc,부산,GFS,048-072h,389,7.31,35.03
tcc,부산,GFS,072-120h,683,4.21,32.94
tcc,부산,GFS,120-240h,38,4.05,24.63
tcc,부산,KIM,000-024h,294,22.28,32.02
tcc,부산,KIM,024-048h,270,16.42,35.46
tcc,부산,KIM,048-072h,232,14.33,35.34
tcc,부산,KIM,072-120h,27,12.81,31.56
tcc,서울,ECMWF,000-024h,269,0.59,18.54
tcc,서울,ECMWF,024-048h,264,2.41,16.33
tcc,서울,ECMWF,048-072h,257,0.3,20.19
tcc,서울,ECMWF,072-120h,479,5.26,22.11
tcc,서울,ECMWF,120-240h,637,8.31,30.86
tcc,서울,ECMWF,240h+,24,-1.92,42.33
tcc,서울,GFS,000-024h,440,3.98,18.14
tcc,서울,GFS,024-048h,416,6.48,20.65
tcc,서울,GFS,048-072h,389,5.53,23.58
tcc,서울,GFS,072-120h,683,8.44,25.79
tcc,서울,GFS,120-240h,38,14.53,26.84
tcc,서울,KIM,000-024h,294,27.95,33.04
tcc,서울,KIM,024-048h,270,24.24,36.0
tcc,서울,KIM,048-072h,232,26.68,42.56
tcc,서울,KIM,072-120h,27,27.67,51.07
