TM,STN,TA,CA_TOT,SS,SI,WS,HM
2026-08-12 23:00:00,146,26.6,1.0,,,,
2026-08-12 23:00:00,156,26.4,10.0,,,,
2026-08-12 23:00:00,159,25.5,5.0,,,,
2026-08-12 23:00:00,184,26.4,4.0,,,,
2026-08-13 00:00:00,90,21.9,7.0,,,1.8,93.0
2026-08-13 00:00:00,93,22.6,10.0,,,0.2,81.0
2026-08-13 00:00:00,95,20.7,1.0,,,1.5,82.0
2026-08-13 00:00:00,98,22.0,4.0,,,1.0,68.0
2026-08-13 00:00:00,99,21.2,2.0,,,2.3,78.0
2026-08-13 00:00:00,100,19.2,10.0,,,3.5,95.0
2026-08-13 00:00:00,101,22.8,0.0,,,1.4,73.0
2026-08-13 00:00:00,102,22.9,8.0,,,3.7,79.0
2026-08-13 00:00:00,104,21.6,10.0,,,2.2,98.0
2026-08-13 00:00:00,105,21.8,10.0,,,2.5,94.0
2026-08-13 00:00:00,106,22.6,8.0,,,2.5,94.0
2026-08-13 00:00:00,108,24.4,1.0,,,3.1,64.0
2026-08-13 00:00:00,112,26.1,3.0,,,2.6,61.0
2026-08-13 00:00:00,114,22.5,1.0,,,0.8,75.0
2026-08-13 00:00:00,115,24.3,3.0,,,6.7,88.0
2026-08-13 00:00:00,119,24.9,1.0,,,1.7,63.0
2026-08-13 00:00:00,121,20.7,0.0,,,0.8,89.0
2026-08-13 00:00:00,127,21.1,1.0,,,0.5,83.0
2026-08-13 00:00:00,129,24.9,1.0,,,3.2,65.0
2026-08-13 00:00:00,130,23.4,2.0,,,2.3,92.0
2026-08-13 00:00:00,131,24.9,0.0,,,3.0,65.0
2026-08-13 00:00:00,133,23.9,1.0,,,0.9,72.0
2026-08-13 00:00:00,135,19.5,6.0,,,0.3,92.0
2026-08-13 00:00:00,136,21.6,2.0,,,0.0,81.0
2026-08-13 00:00:00,137,22.3,8.0,,,0.1,88.0
2026-08-13 00:00:00,138,24.6,8.0,,,1.9,75.0
2026-08-13 00:00:00,140,25.2,1.0,,,0.9,75.0
2026-08-13 00:00:00,143,24.9,6.0,,,1.5,67.0
2026-08-13 00:00:00,146,26.0,1.0,,,0.1,62.0
2026-08-13 00:00:00,152,23.0,1.0,,,1.7,82.0
2026-08-13 00:00:00,155,25.6,5.0,,,0.7,68.0
2026-08-13 00:00:00,156,26.5,10.0,,,1.4,67.0
2026-08-13 00:00:00,159,25.2,3.0,,,2.8,70.0
2026-08-13 00:00:00,162,24.4,1.0,,,1.5,71.0
2026-08-13 00:00:00,165,25.1,4.0,,,2.2,71.0
2026-08-13 00:00:00,168,26.7,4.0,,,2.7,60.0
2026-08-13 00:00:00,169,23.6,5.0,,,3.1,75.0
2026-08-13 00:00:00,170,25.2,10.0,,,1.0,69.0
2026-08-13 00:00:00,172,24.0,6.0,,,1.2,87.0
2026-08-13 00:00:00,174,21.5,4.0,,,0.2,85.0
2026-08-13 00:00:00,177,24.9,0.0,,,2.1,71.0
2026-08-13 00:00:00,181,22.1,1.0,,,1.7,80.0
2026-08-13 00:00:00,184,26.2,4.0,,,1.6,75.0
2026-08-13 00:00:00,185,25.1,1.0,,,3.5,77.0
2026-08-13 00:00:00,188,27.2,10.0,,,2.7,74.0
2026-08-13 00:00:00,189,26.3,7.0,,,1.9,76.0
2026-08-13 00:00:00,192,21.6,1.0,,,0.3,84.0
2026-08-13 00:00:00,201,22.7,2.0,,,1.8,69.0
2026-08-13 00:00:00,202,23.2,1.0,,,0.1,74.0
2026-08-13 00:00:00,203,21.7,1.0,,,0.2,83.0
2026-08-13 00:00:00,211,20.2,6.0,,,0.4,93.0
2026-08-13 00:00:00,212,21.2,0.0,,,0.7,82.0
2026-08-13 00:00:00,216,19.6,10.0,,,3.6,92.0
2026-08-13 00:00:00,217,20.2,0.0,,,0.6,94.0
2026-08-13 00:00:00,221,19.7,3.0,,,0.1,93.0
2026-08-13 00:00:00,226,20.3,3.0,,,0.2,96.0
2026-08-13 00:00:00,232,23.6,1.0,,,1.2,73.0
2026-08-13 00:00:00,235,25.6,1.0,,,2.9,68.0
2026-08-13 00:00:00,236,24.6,1.0,,,1.3,70.0
2026-08-13 00:00:00,238,21.4,0.0,,,0.0,88.0
2026-08-13 00:00:00,239,24.2,1.0,,,1.2,69.0
2026-08-13 00:00:00,243,24.7,1.0,,,0.0,78.0
2026-08-13 00:00:00,244,21.8,3.0,,,1.1,84.0
2026-08-13 00:00:00,245,23.5,1.0,,,1.1,75.0
2026-08-13 00:00:00,247,25.6,3.0,,,1.7,68.0
2026-08-13 00:00:00,248,19.6,3.0,,,0.9,90.0
2026-08-13 00:00:00,251,21.9,6.0,,,0.4,91.0
2026-08-13 00:00:00,252,24.8,10.0,,,0.0,75.0
2026-08-13 00:00:00,253,24.8,2.0,,,0.3,73.0
2026-08-13 00:00:00,254,25.4,3.0,,,0.5,66.0
2026-08-13 00:00:00,255,25.1,2.0,,,1.4,72.0
2026-08-13 00:00:00,257,25.7,3.0,,,2.9,74.0
2026-08-13 00:00:00,258,24.8,9.0,,,0.6,84.0
2026-08-13 00:00:00,259,25.5,10.0,,,0.5,74.0
2026-08-13 00:00:00,260,25.3,10.0,,,0.8,73.0
2026-08-13 00:00:00,261,24.9,6.0,,,1.0,76.0
2026-08-13 00:00:00,262,24.6,10.0,,,0.3,76.0
2026-08-13 00:00:00,263,20.8,0.0,,,0.7,89.0
2026-08-13 00:00:00,264,21.2,4.0,,,0.8,89.0
2026-08-13 00:00:00,266,25.6,4.0,,,0.5,65.0
2026-08-13 00:00:00,268,22.3,1.0,,,1.2,83.0
2026-08-13 00:00:00,271,19.9,6.0,,,0.1,91.0
2026-08-13 00:00:00,272,21.6,3.0,,,0.9,83.0
2026-08-13 00:00:00,273,22.2,3.0,,,0.5,79.0
2026-08-13 00:00:00,276,20.5,3.0,,,0.4,96.0
2026-08-13 00:00:00,277,23.3,4.0,,,3.4,84.0
2026-08-13 00:00:00,278,20.3,2.0,,,0.5,92.0
2026-08-13 00:00:00,279,23.0,3.0,,,0.9,79.0
2026-08-13 00:00:00,281,21.8,2.0,,,0.8,88.0
2026-08-13 00:00:00,283,23.2,3.0,,,1.8,83.0
2026-08-13 00:00:00,284,20.2,3.0,,,0.1,85.0
2026-08-13 00:00:00,285,21.8,6.0,,,0.6,87.0
2026-08-13 00:00:00,288,26.4,4.0,,,2.1,66.0
2026-08-13 00:00:00,289,22.0,5.0,,,0.3,85.0
2026-08-13 00:00:00,294,24.0,3.0,,,0.8,76.0
2026-08-13 00:00:00,295,23.7,1.0,,,1.3,77.0
2026-08-13 00:00:00,296,25.6,5.0,,,3.7,76.0
2026-08-13 01:00:00,90,21.9,7.0,,,1.6,94.0
2026-08-13 01:00:00,93,22.9,3.0,,,0.7,75.0
2026-08-13 01:00:00,95,19.5,3.0,,,1.7,90.0
2026-08-13 01:00:00,98,21.2,3.0,,,0.1,72.0
2026-08-13 01:00:00,99,21.2,3.0,,,3.0,76.0
2026-08-13 01:00:00,100,19.1,0.0,,,3.1,94.0
2026-08-13 01:00:00,101,22.8,3.0,,,1.4,72.0
2026-08-13 01:00:00,102,22.4,8.0,,,1.2,82.0
2026-08-13 01:00:00,104,21.8,8.0,,,2.5,99.0
2026-08-13 01:00:00,105,22.2,8.0,,,3.0,93.0
2026-08-13 01:00:00,106,23.1,9.0,,,3.0,92.0
2026-08-13 01:00:00,108,23.8,1.0,,,2.7,68.0
2026-08-13 01:00:00,112,25.2,1.0,,,1.9,66.0
2026-08-13 01:00:00,114,22.1,3.0,,,1.0,77.0
2026-08-13 01:00:00,115,23.9,2.0,,,7.4,89.0
2026-08-13 01:00:00,119,24.4,1.0,,,1.4,64.0
2026-08-13 01:00:00,121,20.5,9.0,,,1.0,89.0
2026-08-13 01:00:00,127,20.9,1.0,,,0.4,86.0
2026-08-13 01:00:00,129,23.8,2.0,,,1.8,70.0
2026-08-13 01:00:00,130,23.5,4.0,,,2.4,92.0
2026-08-13 01:00:00,131,24.2,1.0,,,3.1,67.0
2026-08-13 01:00:00,133,23.0,1.0,,,0.4,76.0
2026-08-13 01:00:00,135,19.2,1.0,,,0.0,92.0
2026-08-13 01:00:00,136,20.6,2.0,,,0.0,82.0
2026-08-13 01:00:00,137,22.0,6.0,,,0.4,88.0
2026-08-13 01:00:00,138,24.8,9.0,,,2.4,73.0
2026-08-13 01:00:00,140,24.9,4.0,,,1.5,76.0
2026-08-13 01:00:00,143,24.0,2.0,,,0.0,71.0
2026-08-13 01:00:00,146,25.0,1.0,,,0.3,68.0
2026-08-13 01:00:00,152,23.1,1.0,,,2.5,83.0
2026-08-13 01:00:00,155,24.5,1.0,,,0.9,72.0
2026-08-13 01:00:00,156,26.0,8.0,,,1.7,68.0
2026-08-13 01:00:00,159,25.4,8.0,,,2.9,68.0
2026-08-13 01:00:00,162,24.2,1.0,,,1.7,72.0
2026-08-13 01:00:00,165,24.9,4.0,,,2.2,74.0
2026-08-13 01:00:00,168,26.4,1.0,,,3.3,61.0
2026-08-13 01:00:00,169,23.6,3.0,,,3.3,77.0
2026-08-13 01:00:00,170,24.9,6.0,,,1.0,71.0
2026-08-13 01:00:00,172,23.1,6.0,,,1.0,100.0
2026-08-13 01:00:00,174,20.4,2.0,,,0.6,89.0
2026-08-13 01:00:00,177,24.7,1.0,,,2.8,71.0
2026-08-13 01:00:00,181,22.1,1.0,,,2.0,78.0
2026-08-13 01:00:00,184,26.2,4.0,,,1.6,77.0
2026-08-13 01:00:00,185,24.8,1.0,,,2.2,75.0
2026-08-13 01:00:00,188,27.1,10.0,,,3.1,74.0
2026-08-13 01:00:00,189,26.2,5.0,,,1.9,76.0
2026-08-13 01:00:00,192,21.4,1.0,,,0.5,84.0
2026-08-13 01:00:00,201,22.3,4.0,,,1.9,71.0
2026-08-13 01:00:00,202,22.7,3.0,,,0.8,78.0
2026-08-13 01:00:00,203,21.8,0.0,,,0.7,82.0
2026-08-13 01:00:00,211,19.9,7.0,,,1.3,95.0
2026-08-13 01:00:00,212,20.9,3.0,,,0.3,82.0
2026-08-13 01:00:00,216,19.4,10.0,,,3.3,94.0
2026-08-13 01:00:00,217,20.4,8.0,,,0.7,93.0
2026-08-13 01:00:00,221,20.3,0.0,,,0.0,92.0
2026-08-13 01:00:00,226,19.7,0.0,,,0.0,97.0
2026-08-13 01:00:00,232,22.1,3.0,,,0.4,83.0
2026-08-13 01:00:00,235,25.0,4.0,,,2.7,69.0
2026-08-13 01:00:00,236,23.8,3.0,,,1.3,74.0
2026-08-13 01:00:00,238,20.8,0.0,,,0.0,91.0
